Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 04460,19370101,19411231,1937 - 1941,13.10 Firmen J,"Jokisch, Wilhelm, Buch- und Schreibwarenhandlung, Breslau", ,16 Bl.,"Jokisch, Wilhelm"
F 04461,19370101,19481231,1937 - 1948,13.10 Firmen J,"Joly Technisches Auskunftsbuch, Inhaber Hubert Joly, Kleinwittenberg (Elbe) ", ,25 Bl.,Joly Technisches Auskunftsbuch
F 04462,19410101,19411231,1941,13.10 Firmen J,"Jones & Evans' Bookshop Ltd., Buchhandlung, London (Großbritannien)","Enthält nur: Mitteilung zur Streichung der Firma eines ""Feindstaates"" aus dem Adressbuch vom 6. November 1941 ",2 Bl.,Jones & Evans
F 04463,19370101,19511231,1937 - 1951,13.10 Firmen J,"Jonscher, Julius, Buch-, Kunst- und Lehrmittelhandlung, Osnabrück", ,30 Bl.,"Jonscher, Julius"
F 04464,19370101,19851231,1937 - 1985,13.10 Firmen J,"Jordan, Ewald, Inhaberin Dorothea Jordan, Buchhandlung, Beetzendorf (Altmark)",,47 Bl.,"Jordan, Ewald"
F 04465,19370101,19481231,1937 - 1948,13.10 Firmen J,"Jordan & Gramberg, Buchdruckerei und Verlag, Inhaber Wilhelm Jordan und Walter Gramberg, Leipzig", ,15 Bl.,Jordan & Gramberg
F 04466,19370101,19491231,1937 - 1949,13.10 Firmen J,"Jordan, J. Georg, Buchhandlung, Inhaber Joh. Georg Jordan und Joh. Anton Jordan, Nürnberg und Kempten ", ,20 Bl.,"Jordan, Joh. Georg"
F 04467,19370101,19481231,1937 - 1948,13.10 Firmen J,"Jordan Buch-, Kunst- und Musikalienhandlung Inhaber Paul Schneider, Adolf, Wernigerode", ,12 Bl.,"Jordan, Adolf"
F 04468,19260101,19491231,1926 - 1949,13.10 Firmen J,"Jördens & Schwenk, Reise- und Versandbuchhandlung, Sortiment und Antiquariat, Inhaber Ernst Schwenk, Bremen", ,78 Bl.,Jördens & Schwenk
F 04469,19370101,19371231,1937,13.10 Firmen J,"Joergen, Elsa, Antiquariat und Verlag, Inhaberin Elsa Schmidt geb Falk, München", ,3 Bl.,"Joergen, Elsa"
F 04470,19370101,19571231,1937 - 1957,13.10 Firmen J,"Joerges Buchhandlung Inhaber Werner Schaab, Sortiment und Antiquariat, Rostock", ,55 Bl.,Joerges Buchhandlung
F 04471,19370101,19371231,1937,13.10 Firmen J,"Joerges Wwe. & Sohn, Aug., Sortiments-, Musik- und Papierhandlung, Inhaber Richard Joerges, Schemnitz (Banská Stiavnica, Slovakei)", ,3 Bl.,"Joerges, Aug. "
F 04472,19370101,19871231,1937 - 1987,13.10 Firmen J,"Jost, Waldemar, Buchhandlung, Inhaber Bruno Urban, später Waltraud Urban, Pächter Hans Toberg, Arnstadt",,70 Bl.,"Jost, Waldemar"
F 04473,19380101,19391231,1938 - 1939,13.10 Firmen J,"Joest Verlag, Franz, Halle (Saale)", ,10 Bl.,"Joest, Franz"
F 04475,19370101,19441231,1937 - 1944,13.09 Firmen I,"Ippoldt's Nachf. Josef Kern, Anton, Buch-, Kunst- und Musikalienhandlung, Antiquariat, Saaz", ,31 Bl.,"Ippoldt, Anton"
F 04476,19370101,19401231,1937 - 1940,13.09 Firmen I,"Iris-Musik- und Theater-Verlag August Mallmann, Orchester-Verlag und Gross-Sortiment, Recklinghausen", ,15 Bl.,Iris-Musik- und Theater-Verlag
F 04477,19370101,19391231,1937 - 1939,13.09 Firmen I,"""Iris"" Versandbuchhandlung, Inhaber Dr. Fritz Stein, Wien (Österreich)", ,6 Bl.,Iris Versandbuchhandlung
F 04478,19360101,19441231,1936 - 1944,13.09 Firmen I,"Iris Verlag A.G., Direktor Albert Feller, Bern (Schweiz)", ,26 Bl.,Iris Verlag Bern
F 04479,19450101,19521231,1945 - 1952,13.07 Firmen G,"Gebhardt, Curt, Buchhandlung und Papierwaren, Leipzig", ,37 Bl.,"Gebhardt, Curt"
F 04480,19370101,19551231,1937 - 1955,13.09 Firmen I,"Irmer, Felix, Sortimentsbuchhandlung und Antiquariat, Berlin", ,13 Bl.,"Irmer, Felix"
F 04481,19310101,19491231,1931 - 1949,13.09 Firmen I,"Irminsverlag Abt. Buchvertrieb, Inhaber Martin Kallenowsky, Weißenfels, später Berthold Neumann, Berlin", ,48 Bl.,Irminsverlag
F 04482,19370101,19471231,1937 - 1947,13.09 Firmen I,"Irmler vorm. Sander'sche Buchhandlung, Hans, Sortiment, Antiquariat und Reisebuchhandlung, Freiberg", ,18 Bl.,"Irmler, Hans"
F 04483,19370101,19501231,1937 - 1950,13.09 Firmen I,"Iro-Verlag Carl Kremling, Auto- und Verkehrskarten, Auto-Führer, München", ,11 Bl.,Iro-Verlag
F 04484,19370101,19401231,1937 - 1940,13.09 Firmen I,"Irrgang, Friedrich, Kommanditgesellschaft, Buchdruckerei und Verlagsbuchhandlung, Brünn (Brno, Tschechien)", ,13 Bl.,"Irrgang, Friedrich"
F 04485,19370101,19491231,1937 - 1949,13.09 Firmen I,"Isaria-Buchhandlung G.m.b.H., Reise- und Versandbuchhandlung, Geschäftsführer Joh, Georg Breher, München", ,9 Bl.,Isaria-Buchhandlung
F 04486,19350101,19431231,1935 - 1943,13.09 Firmen I,"Isling's Buch- und Musikalienhandlung, Inhaber Karl Gabler, D., späterer Inhaber Hans Muck, Zeitschriftenvertrieb, Linz (Österreich) ", ,38 Bl.,"Isling, D."
F 04487,19370101,19401231,1937 - 1940,13.09 Firmen I,"Istas, Mathias, Buch-, Kunst- und Musikalienhandlung, Buchbinderei, Inhaberin Agnes Istas, Grevenbroich", ,9 Bl.,"Istas, Mathias"
F 04488,19310101,19431231,1931 - 1943,13.09 Firmen I,"Iten, Anna, Buch- und Kunsthandlung, Schwyz (Schweiz)", ,7 Bl.,"Iten, Anna"
F 04489,19370101,19461231,1937 - 1946,13.10 Firmen J,"Jubelt K.-G., Reinhold, Verlag der Zeitzer Neuesten Nachrichten und Sisverlag, Buchhandlung und Buchdruckerei, Pers. haft. Ges. Arthur Jubelt, Zeitz", ,8 Bl.,"Jubelt, Reinhold"
F 04490,19370101,19901231,1937 - 1990,13.10 Firmen J,"Juckeland, Richard, Buch-, Kunst-, Musikalien- und Papierwarenhandlung, Inhaber Erhard Lindner, später Johanna Lindner, Burgstädt",,48 Bl.,"Juckeland, Richard"
F 04491,19370101,19431231,1937 - 1943,13.10 Firmen J,"Jugend-Bücherstube Adolf Günther, Inhaberin Betty Günther, geb. Lochmann, später Hermann Reinshagen, Berlin", ,16 Bl.,Jugend-Bücherstube Berlin
F 04492,19310101,19401231,1931 - 1940,13.10 Firmen J,"Jugendbuchhandlung Zur Krähe G.m.b.H., Sortimentsbuchhandlung, Basel (Schweiz)", ,87 Bl.,Jugendbuchhandlung Zur Krähe
F 04494,19370101,19391231,1937 - 1939,13.10 Firmen J,"Jugendfreundverlag Heinrich Fleissig, Verlag und Versandbuchhandlung, später Dreilindenverlag für Kultur und Volkstum, Oberveischede", ,20 Bl.,Jugendfreundverlag
F 04495,19370101,19511231,1937 - 1951,13.10 Firmen J,"Jugendführungsverlag G.m.b.H., Geschäftsführer Ludwig Wolker, Düsseldorf", ,20 Bl.,Jugendführungsverlag
F 04496,19370101,19461231,1937 - 1946,13.10 Firmen J,"Jugendhaus Düsseldorf E.V., Verlag und Sortiment, Vorsitzender Ludwig Wolker, Düsseldorf ", ,21 Bl.,Jugendhaus Düsseldorf
F 04498,19370101,19441231,1937 - 1944,13.10 Firmen J,"Jugoslovanska Knjigarna r.z.z.o.z., Verlag, Buch-, Kunst- und Musikalienhandlung, Geschäftsführer Johann Mesar, Laibach (Ljubljana, Jugoslavien)", ,42 Bl.,Jugoslovanska Knjigarna
F 04499,19300101,19501231,1930 - 1950,13.10 Firmen J,"Juncker Verlag G.m.b.H., Axel, Geschäftsführer Gustav Paeschke, Berlin", ,67 Bl.,"Juncker, Axel Berlin"
F 04500,19330101,19431231,1933 - 1943,13.10 Firmen J,"Juncker Buchhandlung und Antiquariat, Axel, Kopenhagen (Dänemark)", ,69 Bl.,"Juncker, Axel Kopenhagen "
F 04501,19370101,19501231,1937 - 1950,13.10 Firmen J,"Junfermannsche Buchhandlung, Verlag, Buchdruckerei, Buchbinderei, Sortiment, Inhaber Carl und Albert Pape, Paderborn", ,18 Bl.,Junfermannsche Buchhandlung
F 04502,19370101,19411231,1937 - 1941,13.10 Firmen J,"Jung-Verlag G.m.b.H., Verlagsbuchhandlung, Geschäftsführer Carl J. Görres, Leipzig", ,20 Bl.,Jung-Verlag
F 04503,19370101,19501231,1937 - 1950,13.10 Firmen J,"Jung, Herm., Buch-, Papier- und Schreibwarenhandlung, Inhaberin Hermine Jung, Ferndorf", ,14 Bl.,"Jung, Hermine"
F 04505,19370101,19491231,1937 - 1949,13.10 Firmen J,"Jung, Hermann, Buch-, Kunst- und Schreibwarenhandlung, Laasphe", ,9 Bl.,"Jung, Hermann"
F 04506,19370101,19481231,1937 - 1948,13.10 Firmen J,"Jung, Ph. L., Verlag für Feuerschutzliteratur nebst Buchdruckerei, Inhaber Ludwig Jung, München", ,10 Bl.,"Jung, Ph. L."
F 04508,19370101,19501231,1937 - 1950,13.10 Firmen J,"Jungborn-Verlag Rudolf Just, Verlagsbuchhandlung und Sortiment, Bad Harzburg", ,24 Bl.,Jungborn-Verlag
F 04510,19370101,19491231,1937 - 1949,13.10 Firmen J,"Junge's Buchhandlung Gustav Oppel, Carl, Ansbach", ,9 Bl.,"Junge, Carl"
F 04511,19370101,19491231,1937 - 1949,13.10 Firmen J,"Junge & Sohn, Verlagsbuchhandlung, Buchdruckerei, Inhaber Hermann und Johannes Junge, Erlangen", ,8 Bl.,Junge & Sohn
F 04513,19370101,19411231,1937 - 1941,13.10 Firmen J,"""die junge dame"" Verlagsgesell. m.b.H., Geschäftsführer Peter H. Fergo und Bernhard Lehnert, Berlin", ,34 Bl.,Junge Dame
F 04514,19370101,19471231,1937 - 1947,13.10 Firmen J,"Junge Generation Verlagsgesellschaft Reichel, Pers. haft. Ges. Hellmut Reichel, Berlin", ,19 Bl.,Junge Generation
F 04516,19370101,19521231,1937 - 1952,13.10 Firmen J,"Junghans, Curt, Buch-, Musikalien- und Schreibwarenhandlung, Wurzen", ,34 Bl.,"Junghans, Curt"
F 04517,19370101,19391231,1937 - 1939,13.10 Firmen J,"Junginger-Hefti's Erben, Buchhandlung und Papeterie, Inhaberin Wwe M. Junginger-Hefti, Arosa (Schweiz)", ,26 Bl.,Junginger-Hefti's Erben
F 04518,19370101,19631231,1937 - 1963,13.10 Firmen J,"Jungklaus'sche Musikalien-, Buch- und Instrumentenhandlung, Verlag und Buchdruckerei, Inhaber Otto Spintler, Gotha", ,47 Bl.,Jungklaussche Buchhandlung
F 04519,19370101,19481231,1937 - 1948,13.10 Firmen J,"Jungland-Verlag, Inhaber Karl Simon, Buchverlag, Görlitz, späterer Inhaber Anton Weiss, Großschönau und Leipzig ", ,101 Bl.,Jungland-Verlag
F 04520,19370101,19491231,1937 - 1949,13.10 Firmen J,"Jungnickel's Buchhandlung Inhaberin Lina Jungnickel, Buch-, Papier- und Schreibwarenhandlung, Gelnhausen", ,40 Bl.,Jungnickels Buchhandlung
F 04521,19340101,19501231,1934 - 1950,13.10 Firmen J,"Junk, W., Verlag für Naturwissenschaften, Inhaber Dr. Wilhelm Junk, Den Haag (Niederlande)","Enthält u. a.: ""Philobiblon"", die Zeitschrift für Bücherfreunde, 1939. ",172 Bl.,"Junk, Wilhelm Verlag"
F 04523,19370101,19511231,1937 - 1951,13.10 Firmen J,"Junker und Dünnhaupt Verlag, Inhaber Dr. Paul Junker und Dr. Rudolf Dünnhaupt, Berlin, später Gotha", ,37 Bl.,Junker und Dünnhaupt
F 04524,19370101,19411231,1937 - 1941,13.10 Firmen J,"Junker, Alfred, Sortimentsbuchhandlung, Buchbinderei, Bitsch", ,5 Bl.,"Junker, Alfred"
F 04525,19370101,19541231,1937 - 1954,13.10 Firmen J,"Junne G.m.b.H., Otto, Musik-Verlag, Musik-Sortiment und Kommissionsgeschäft, Geschäftsführer Erhard Schultz und Edgar Bielefeldt, Leipzig", ,28 Bl.,"Junne, Otto"
F 04526,19360101,19361231,1936,13.12 Firmen L,"Lienau vorm. Schlesinger'sche Buch- und Musikhandlung, R. und W., Inhaber Robert und Wilhelm Lienau, Berlin", ,2 Bl.,"Lienau, Robert und Wilhelm "
F 04528,19370101,19501231,1937 - 1950,13.10 Firmen J,"Jürgensen & Becker, Buchhandlung und Antiquariat, Inhaber Richard sen. und Richard jun. Becker, Hamburg", ,19 Bl.,Jürgensen & Becker
F 04529,19360101,19511231,1936 - 1951,13.06 Firmen F,"Forberg, Robert (vorm. P. Jurgenson), Musikverlag, Inhaber Horst Tam Oskar von Roebel, Leipzig", ,32 Bl.,"Forberg, Robert"
F 04530,19360101,19481231,1936 - 1948,13.10 Firmen J,"Jüstel & Göttel, Verlags- und Versandbuchhandlung, Buchdruckerei, Inhaber Oskar Göttel, Leipzig", ,316 Bl.,Jüstel & Göttel
F 04532,19370101,19491231,1937 - 1949,13.10 Firmen J,"Jüttner Inhaber Heinz Gettkant, H., Buchhandlung, Wolfenbüttel", ,14 Bl.,"Jüttner, H."
F 04533,19370101,19401231,1937 - 1940,13.09 Firmen I,"Ivens, Ernst, Buch-, Papier- und Schreibwarenhandlung, Eutin", ,11 Bl.,"Ivens, Ernst"
F 04534,19320101,19391231,1932 - 1939,13.09 Firmen I,"Izdavacko Preduzece ""Narodna Prosveta"", Verlag und Buchdruckerei, Buchbinderei, Belgrad (Beograd, Jugoslavien)", ,53 Bl.,Izdavacko Preduzece
F 04535,19340101,19371231,1934 - 1937,13.11 Firmen K,"Kaabers Musikforlag, Musik-Sortiment und Verlag, Inhaber Armand Kaaber, Aarhus (Dänemark)", ,3 Bl.,"Kaaber, Armand"
F 04536,19330101,19471231,1933 - 1947,13.11 Firmen K,"Kaage, C. A., Buchhandlung, Papier- und Schreibwarenhandlung, Inhaber Erich Georg Kaage, Lyck, später Wieslet", ,34 Bl.,"Kaage, C. A."
F 04537,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaatzer's Buchhandlung Josef Kaatzer, P., Inhaberin Clara Kaatzer, Aachen", ,17 Bl.,"Kaatzer, P."
F 04539,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kabitzsch, Curt, Verlagsbuchhandlung, Inhaber Dr. Arthur und Wolfgang Meiner, Leipzig", ,25 Bl.,"Kabitzsch, Curt"
F 04540,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kächelen, Gottlob, Buch-, Papier- und Schreibwarenhandlung, Inhaber Willi Kächelen, Freudenstadt", ,19 Bl.,"Kächelen, Gottlob"
F 04541,19370101,19481231,1937 - 1948,13.11 Firmen K,"Kaden, Arthur, Verlag und Buchdruckerei, Leipzig", ,21 Bl.,"Kaden, Arthur"
F 04542,19310101,19401231,1931 - 1940,13.11 Firmen K,"Kaden, Gustav, Schulbuch- und Papierhandlung, Inhaberin Clara Kaden, Stettin", ,30 Bl.,"Kaden, Gustav"
F 04543,19250101,19481231,1925 - 1948,13.11 Firmen K,"Kadner, N., Sortimentsbuchhandlung und Verlag, Inhaber Nikolai Kadner, Riga (Lettland)", ,53 Bl.,"Kaden, Nikolai"
F 04544,19330101,19461231,1933 - 1946,13.11 Firmen K,"Kafemann G.m.b.H., A. W., Verlagsbuchhandlung, Sortimentsbuchhandlung, Geschäftsführer Bruno Benisch, Danzig", ,62 Bl.,"Kafemann, A. W."
F 04545,19370101,19371231,1937,13.11 Firmen K,"Kafka, Franz M., Antiquariat, Versandbuchhandlung, Buch-, Kunst- und Musikalienhandlung, Ostrau-Privoz (Ostrava-Privoz, Tschechien)", ,2 Bl.,"Kafka, Franz M."
F 04546,19370101,19371231,1937,13.11 Firmen K,"Kahl, H., Buchhandlung, Inhaberin Hedwig Kahl, Hamburg", ,10 Bl.,"Kahl, Hedwig "
F 04548,19290101,19371231,1929 - 1937,13.11 Firmen K,"Kahlert, Josef, Buch-, Musikalien- und Papierhandlung, Neustadt", ,18 Bl.,"Kahlert, Josef"
F 04549,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kahlsdorf, Lina, Buch- und Papierhandlung, Inhaber Heinrich Kahlsdorf, Friedberg", ,17 Bl.,"Kahlsdorf, Lina"
F 04550,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kahm, Franz, Buchhandlung, Verlag, Papier- und Schreibwarenhandlung, Buchdruckerei, Inhaber Waldemar Kahm, Frankenberg", ,11 Bl.,"Kahm, Franz"
F 04551,19370101,19391231,1937 - 1939,13.11 Firmen K,"Kahn Inhaber Hermann Bruns, Albert, Buch- und Papierhandlung, Büroartikel, Kirchhain", ,11 Bl.,"Kahn, Albert"
F 04553,19340101,19371231,1934 - 1937,13.11 Firmen K,"Kajon, Daniel & A., Buchhandlung, Inhaber Kajon's Erben und Albert Kajon, Sarajevo (Jugoslavien)", ,4 Bl.,"Kajon, Daniel und Albert"
F 04554,19370101,19421231,1937 - 1942,13.11 Firmen K,"Kaiser & Co. A.-G., Buch-, Papier- und Lehrmittelhandlung, Bern (Schweiz)", ,8 Bl.,Kaiser & Co.
F 04555,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaiser, Friedr., Buchhandlung und Antiquariat, Inhaber Carl Schröder, Bremen", ,32 Bl.,"Kaiser, Friedrich"
F 04556,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaiser, Adolf, Reise- und Versandbuchhandlung, Frankfurt (Main)", ,12 Bl.,"Kaiser, Adolf"
F 04557,19370101,19381231,1937 - 1938,13.11 Firmen K,"Kaiser, Eduard, Verlag, B.-Leipa, später Zwickau", ,18 Bl.,"Kaiser, Eduard"
F 04558,19370101,19401231,1937 - 1940,13.11 Firmen K,"Kaiser, Adam, Buch- und Papierhandlung, Hammelburg", ,5 Bl.,"Kaiser, Adam"
F 04559,19370101,19481231,1937 - 1948,13.11 Firmen K,"Kaiser, Paul, Musikalienhandlung, Bad Kreuznach", ,7 Bl.,"Kaiser, Paul"
F 04560,19340101,19491231,1934 - 1949,13.11 Firmen K,"Kaiser, Chr., Sortimentsbuchhandlung, Inhaber Albert Lempp, München", ,50 Bl.,"Kaiser, Chr. Sortiment"
F 04561,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaiser, Chr., Verlag, Inhaber Albert Lempp, München", ,23 Bl.,"Kaiser, Chr. Verlag"
F 04562,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaiser, Julius, Buch-, Papier- und Schreibwarenhandlung, Rahden", ,18 Bl.,"Kaiser, Julius"
F 04563,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kalb, Willi, Sortiments- und Verlagsbuchhandlung, Schreibwarenhandlung, Montabaur", ,23 Bl.,"Kalb, Willi"
F 04564,19370101,19411231,1937 - 1941,13.11 Firmen K,"Kalbas, Rudolf, Buch-, Musikalien- und Papierhandlung, Inhaberin Adelheid Kalbas, Deutsch Gabel", ,35 Bl.,"Kalbas, Rudolf"
F 04565,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kalbfleisch, Jean, Buch- und Papierhandlung, Gelnhausen", ,6 Bl.,"Kalbfleisch, Jean"
F 04566,19320101,19441231,1932 - 1944,13.11 Firmen K,"Kalis, Erich, Deutsche Buchhandlung, Istanbul (Türkei)", ,144 Bl.,"Kalis, Erich"
F 04567,19370101,19531231,1937 - 1953,13.11 Firmen K,"Kalisch, Hermann, Buchhandlung, Königsberg, später Greiffenberg", ,32 Bl.,"Kalisch, Hermann"
F 04568,19370101,19541231,1937 - 1954,13.11 Firmen K,"Kalkverlag G.m.b.H., Verlag und Sortiment, Geschäftsführer Dr. Karl Goslich, Berlin", ,12 Bl.,Kalkverlag
F 04569,19300101,19481231,1930 - 1948,13.11 Firmen K,"Kalks, Richard, Buch-, Musikalien-, Papier- und Schreibwarenhandlung, Misdroy", ,34 Bl.,"Kalks, Richard"
F 04570,19380101,19491231,1938 - 1949,13.11 Firmen K,"Kallmeyer Verlag vorm. J. Zwisslers Verlag, Georg, Wolfenbüttel und Berlin, später Verlag Karl Heinrich Möseler, Wolfenbüttel ", ,32 Bl.,"Kallmeyer, Georg"
F 04571,19370101,19391231,1937 - 1939,13.11 Firmen K,"Kaltenbacher, E., Musikverlag, Sortiments- und Instrumentenhandel, Steyr (Österreich)", ,5 Bl.,"Kaltenbacher, E."
F 04572,19370101,19391231,1937 - 1939,13.11 Firmen K,"Kaltschmid, F., Buchhandlung, Antiquariat, Zeitschriftenvertrieb, Innsbruck (Österreich)", ,4 Bl.,"Kaltschmid, F."
F 04573,19370101,19391231,1937 - 1939,13.11 Firmen K,"Kaluppa, Anna, Buch-, Papier- und Devotionalienhandlung, Inhaberinnen Martha Giessmann und Elisabeth Gatzka, Ratibor", ,7 Bl.,"Kaluppa, Anna"
F 04574,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kälz Buchhandlung Inhaber Karl Fischer, Buch- und Papierhandlung, Bad Sachsa", ,9 Bl.,Kälz Buchhandlung
F 04575,19360101,19491231,1936 - 1949,13.11 Firmen K,"Kambli'sche Buchhandlung und Druckerei, Inhaber Michael Pollwein, Pfarrkirchen", ,12 Bl.,Kambli'sche Buchhandlung
F 04576,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kameradschaft Verlagsgesellschaft Gersbach & Co., Zeitschriftenverlag, Geschäftsführer Fritz Gersbach, Berlin", ,41 Bl.,Kameradschaft Verlagsgesellschaft
F 04577,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kämmerer Verlag, Robert, Berlin, später Düsseldorf", ,34 Bl.,"Kämmerer, Robert"
F 04578,19370101,19381231,1937 - 1938,13.11 Firmen K,"Kammerer, Kurt, Sortimentsbuchhandlung, Verlag, Berlinchen", ,7 Bl.,"Kammerer, Kurt"
F 04579,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kaemmerer, Johannes, Buch- und Papierhandlung, Buchdruckerei, Wedel", ,12 Bl.,"Kaemmerer, Johannes"
F 04580,19370101,19371231,1937,13.11 Firmen K,"Kampen, Hermann, Verlag, Buchdruckerei und Buchbinderei, Inhaber Dr. Hans Wiegmann, Hamburg", ,4 Bl.,"Kampen, Hermann"
F 04581,19370101,19471231,1937 - 1947,13.11 Firmen K,"Kämpfe, Bruno, Buch-, Kunst-, Musikalien- und Pianohandlung, Limbach", ,20 Bl.,"Kämpfe, Bruno"
F 04582,19350101,19371231,1935 - 1937,13.11 Firmen K,"""Der Kämpfer"", Zeitungsverlag, Buch- und Papierwarenhandlung, später Heiligenbeiler Zeitung, Druckerei und Verlagsanstalt G.m.b.H., Geschäftsführer Hans Stadtaus, Heiligenbeil", ,15 Bl.,Kämpfer
F 04584,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kampmann Verlag, Niels, Kampen, später Berlin", ,34 Bl.,"Kampmann, Niels"
F 04585,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kamprath, Ernst, Verlag, Leipzig, später Coburg", ,40 Bl.,"Kamprath, Ernst"
F 04586,19370101,19371231,1937,13.11 Firmen K,"Kamrath, Johanna, Buch-, Papier- und Bilderhandlung, Podejuch", ,6 Bl.,"Kamrath, Johanna"
F 04587,19370101,19501231,1937 - 1950,13.11 Firmen K,"Kändler, Benno, Sortimentsbuchhandlung, Berlin", ,27 Bl.,"Kändler, Benno"
F 04590,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kanitz' Verlag, Hermann, Inhaber Rudolf Reich, Gera", ,20 Bl.,"Kanitz, Hermann"
F 04591,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kanther, Margarete, Buch- und Papierhandlung, Meseritz, später Bad Grund", ,19 Bl.,"Kanther, Margarete"
F 04592,19370101,19371231,1937,13.11 Firmen K,"Kanzler, Herbert, Verlag, Berlin", ,6 Bl.,"Kanzler, Herbert"
F 04593,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kapieske, Johannes, Antiquariat, Berlin", ,12 Bl.,"Kapieske, Johannes"
F 04594,19370101,19461231,1937 - 1946,13.11 Firmen K,"Kaplan, Josef, Buch-, Kunst-, Musikalien- und Schreibwarenhandlung, Duppau", ,6 Bl.,"Kaplan, Josef"
F 04595,19370101,19491231,1937 - 1949,13.11 Firmen K,"Kapp Inhaber Alfons Unteregger, Adolf, Buchhandlung und Antiquariat, Rottenburg (Neckar)", ,40 Bl.,"Kapp, Adolf"
F 04596,19300101,19541231,1930 - 1954,13.11 Firmen K,"Käppel Nachf. Erich Wolff, Johannes, Buchhandlung und Buchdruckerei, späterer Inhaber Gerd Ahrweiler, Luckenwalde", ,71 Bl.,"Käppel, Johannes"
F 04597,19370101,19491231,1937 - 1949,13.11 Firmen K,"Käppele, Carl, Buch- und Kunsthandlung, Altenkirchen", ,10 Bl.,"Käppele, Carl"
F 04598,19370101,19431231,1937 - 1943,13.11 Firmen K,"Kappelmeyer, Maria, Buch- und Schreibwarenhandlung, Fürstenfeldbruck", ,14 Bl.,"Kappelmeyer, Maria"
F 04599,19370101,19381231,1937 - 1938,13.11 Firmen K,"Käppler's Buchhandlung Inhaber Aug. Beyer, G. E., Zittau", ,9 Bl.,"Käppler, G. E."
F 04600,19370101,19421231,1937 - 1942,13.11 Firmen K,"""Kappon"" Buchhandlung, Buch- und Papierhandlung, Inhaber Jechiel und Kamilla Kappon, Brod (Slavonski Brod, Jugoslavien)", ,5 Bl.,"Kappon, Jechiel und Kamilla "
F 04601,19370101,19411231,1937 - 1941,13.11 Firmen K,"Karafiat, Fr., Buch-, Kunst- und Musikalienhandlung, Antiquariat, Inhaber Wilhelm Karafiat, Brünn (Brno, Tschechien)", ,7 Bl.,"Karafiat, Fr."
F 04602,19340101,19501231,1934 - 1950,13.11 Firmen K,"Karafiat, G. & R., Buch-, Kunst- und Musikalienhandlung, Inhaber Richard Karafiat und Richard Karafiat-Filla, Brünn (Brno, Tschechien)", ,37 Bl.,"Karafiat, G. & R."
F 04603,19370101,19381231,1937 - 1938,13.11 Firmen K,"Karásek, Franz, Buch-, Kunst-, Musikalien- und Papierhandlung, Prossnitz (Prostejov, Tschechien)", ,2 Bl.,"Karásek, Franz"
F 04604,19370101,19421231,1937 - 1942,13.11 Firmen K,"Karczag Inhaber Hubert Marischka-Karczag, W., Musik- und Bühnenverlag, Wien (Österreich)", ,9 Bl.,"Karczag, W."
F 04605,19370101,19441231,1937 - 1944,13.11 Firmen K,"Kargl, Theodor, Buch-, Kunst-, Musikalien- und Papierhandlung, Waidhofen (Thaya) (Österreich)", ,22 Bl.,"Kargl, Theodor"
F 04606,19370101,19371231,1937,13.11 Firmen K,"Karl und Faber, Kunst- und Literatur-Antiquariat, Inhaber Dr. Georg Karl, München", ,3 Bl.,Karl und Faber
F 04607,19340101,19601231,1934 - 1960,13.11 Firmen K,"Karl-May-Verlag Fehsenfeld & Co., Inhaberin Klara verw. May und Dr. Euchar Albrecht Schmid (Geschäftsführer), Radebeul ", ,79 Bl.,Karl-May-Verlag
F 04608,19370101,19371231,1937,13.11 Firmen K,"Karla, Arthur, Buch- und Papierhandlung, Buchdruckerei, Buchbinderei, Wehlau", ,6 Bl.,"Karla, Arthur"
F 04609,19370101,19481231,1937 - 1948,13.11 Firmen K,"Kärner, Wilhelm, Buchhandlung, Inhaber Johann Wilhelm Kärner, Crivitz", ,10 Bl.,"Kärner, Wilhelm"
F 04610,19370101,19511231,1937 - 1951,13.11 Firmen K,"Karsch, Heinz, Reileck-Buchhandlung, Buchhandlung und Antiquariat, Halle (Saale) ", ,26 Bl.,"Karsch, Heinz"
